sender_id,sequence,speech_end_epoch_ms,first_audio_epoch_ms,peer_offset_ms,peer_rtt_ms,delta_ms
d3ca7326-73ed-47b8-9384-1c2da40cd8d0,1,1790365073687,1790365083360,0,0,9673
d3ca7326-73ed-47b8-9384-1c2da40cd8d0,2,1790365093066,1790365095299,0,0,2233
d3ca7326-73ed-47b8-9384-1c2da40cd8d0,3,1790365105237,1790365108072,0,0,2835
a619ed2a-f67e-492f-b7af-368f0ee6f172,1,1790365050118,1790365066765,0,0,16647
a619ed2a-f67e-492f-b7af-368f0ee6f172,2,1790365088357,1790365088936,0,0,579
a619ed2a-f67e-492f-b7af-368f0ee6f172,3,1790365099022,1790365099060,0,0,38
a619ed2a-f67e-492f-b7af-368f0ee6f172,4,1790365112011,1790365112869,0,0,858
a619ed2a-f67e-492f-b7af-368f0ee6f172,5,1790365123048,1790365124174,0,0,1126
a619ed2a-f67e-492f-b7af-368f0ee6f172,6,1790365132733,1790365136568,0,0,3835
a619ed2a-f67e-492f-b7af-368f0ee6f172,7,1790365192952,1790365193966,0,0,1014
a619ed2a-f67e-492f-b7af-368f0ee6f172,8,1790365245641,1790365246365,0,0,724
a619ed2a-f67e-492f-b7af-368f0ee6f172,9,1790365252914,1790365257251,0,0,4337
a619ed2a-f67e-492f-b7af-368f0ee6f172,10,1790365282466,1790365282988,0,0,522
a619ed2a-f67e-492f-b7af-368f0ee6f172,11,1790365300595,1790365301246,0,0,651
a619ed2a-f67e-492f-b7af-368f0ee6f172,12,1790365327253,1790365330781,0,0,3528
a619ed2a-f67e-492f-b7af-368f0ee6f172,13,1790365392528,1790365392980,0,0,452
a619ed2a-f67e-492f-b7af-368f0ee6f172,14,1790365415003,1790365415621,0,0,618
