model,lang,n_clips,wer,cer,rtf,load_ms,size_mb,notes
sravaani_int8_ctc,hi_in,100,0.1003,0.0388,0.1602,1852.88,481.61,merged_encoder_plus_ctc_dynamic_int8
sravaani_int8_ctc,gu_in,100,0.2458,0.0814,0.1610,1852.88,481.61,merged_encoder_plus_ctc_dynamic_int8
sravaani_int8_ctc,mr_in,100,0.2912,0.0901,0.1607,1852.88,481.61,merged_encoder_plus_ctc_dynamic_int8
sravaani_int8_ctc,kn_in,100,0.1863,0.0437,0.1609,1852.88,481.61,merged_encoder_plus_ctc_dynamic_int8
sravaani_int8_ctc,ml_in,100,0.2044,0.0558,0.1575,1852.88,481.61,merged_encoder_plus_ctc_dynamic_int8
sravaani_int8_ctc,ta_in,100,0.3400,0.1713,0.1599,1852.88,481.61,merged_encoder_plus_ctc_dynamic_int8
sravaani_int8_ctc,te_in,100,0.2317,0.0660,0.1575,1852.88,481.61,merged_encoder_plus_ctc_dynamic_int8
sravaani_int8_ctc,bn_in,100,0.1953,0.0606,0.1576,1852.88,481.61,merged_encoder_plus_ctc_dynamic_int8
sravaani_int8_ctc,or_in,100,0.2268,0.0638,0.1567,1852.88,481.61,merged_encoder_plus_ctc_dynamic_int8
